"","site","species","Girth (cm)"
"1",1,"Dolichandrone atrovirens",3
"2",1,"Dolichandrone atrovirens",3
"3",1,"Dolichandrone atrovirens",2
"4",1,"Dolichandrone atrovirens",7
"5",1,"Dolichandrone atrovirens",4
"6",1,"Dolichandrone atrovirens",10
"7",1,"Dolichandrone atrovirens",6
"8",1,"Dolichandrone atrovirens",32
"9",1,"Dolichandrone atrovirens",30
"10",1,"Dolichandrone atrovirens",66
"11",1,"Dolichandrone atrovirens",51
"12",1,"Dolichandrone atrovirens",49
"13",1,"Acacia chundra",42
"14",1,"Acacia chundra",33
"15",1,"Azadirachata indica",23.5
"16",1,"Pterocarpus santalilnus",51
"17",1,"Acacia chundra",33
"18",1,"Acacia chundra",25
"19",1,"Acacia chundra",15
"20",1,"Acacia chundra",44
"21",1,"Acacia chundra",16
"22",2,"Dolichandrone atrovirens",9
"23",2,"Dolichandrone atrovirens",10
"24",2,"Cassia montana",2
"25",2,"Dolichandrone atrovirens",4
"26",2,"Tectonia grandis",125
"27",2,"Tectonia grandis",24.5
"28",2,"Tectonia grandis",20
"29",2,"Tectonia grandis",23
"30",2,"Tectonia grandis",31
"31",2,"Tectonia grandis",35
"32",2,"Dolichandrone atrovirens",19
"33",2,"Dolichandrone atrovirens",15.5
"34",2,"Tectonia grandis",17
"35",2,"Dolichandrone atrovirens",17
"36",3,"Dolichandrone atrovirens",4
"37",3,"Dolichandrone atrovirens",7
"38",3,"Cassia montana",4
"39",3,"Cassia montana",4.5
"40",3,"Cassia montana",5
"41",3,"Cassia montana",2
"42",3,"Pongamia pinnata",25
"43",3,"Pongamia pinnata",27
"44",3,"Morinda tinctoria",43
"45",3,"Premna tomentosa",26
"46",3,"Acacia chundra",32
"47",3,"Chloroxylon swietenia",15
"48",3,"Azadirachata indica",42
"49",3,"Syzygium jambola",39
"50",3,"Syzygium jambola",32
"51",3,"Syzygium jambola",30
"52",4,"Dolichandrone atrovirens",2
"53",4,"Dolichandrone atrovirens",3
"54",4,"Dolichandrone atrovirens",2.5
"55",4,"Dolichandrone atrovirens",3.2
"56",4,"Chloroxylon swietenia",49.5
"57",4,"Chloroxylon swietenia",48
"58",4,"Chloroxylon swietenia",25
"59",4,"Chloroxylon swietenia",35
"60",4,"Chloroxylon swietenia",23
"61",4,"Chloroxylon swietenia",19
"62",4,"Chloroxylon swietenia",28
"63",4,"Chloroxylon swietenia",59
"64",4,"Chloroxylon swietenia",21
"65",4,"Chloroxylon swietenia",22
"66",4,"Chloroxylon swietenia",32
"67",4,"Chloroxylon swietenia",31
"68",4,"Chloroxylon swietenia",21
"69",4,"Chloroxylon swietenia",15
"70",4,"Chloroxylon swietenia",24
"71",4,"Chloroxylon swietenia",17
"72",4,"Chloroxylon swietenia",34
"73",4,"Chloroxylon swietenia",29
"74",4,"Morinda tinctoria",47
"75",4,"Chloroxylon swietenia",32
"76",5,"Chloroxylon swietenia",8
"77",5,"Chloroxylon swietenia",7
"78",5,"Chloroxylon swietenia",4
"79",5,"Chloroxylon swietenia",8
"80",5,"Chloroxylon swietenia",2
"81",5,"Chloroxylon swietenia",4
"82",5,"Chloroxylon swietenia",2
"83",5,"Chloroxylon swietenia",4
"84",5,"Chloroxylon swietenia",3
"85",5,"Dolichandrone atrovirens",27
"86",5,"Dolichandrone atrovirens",25
"87",5,"Dolichandrone atrovirens",36
"88",5,"Dolichandrone atrovirens",22
"89",5,"Dolichandrone atrovirens",26
"90",5,"Dolichandrone atrovirens",22
"91",5,"Dolichandrone atrovirens",20
"92",5,"Dolichandrone atrovirens",27
"93",5,"Dolichandrone atrovirens",39
"94",5,"Dolichandrone atrovirens",23
"95",5,"Dolichandrone atrovirens",28
"96",5,"Dolichandrone atrovirens",30
"97",5,"Dolichandrone atrovirens",32
"98",5,"Dolichandrone atrovirens",23
"99",5,"Dolichandrone atrovirens",21
"100",5,"Dolichandrone atrovirens",27
"101",5,"Dolichandrone atrovirens",23
"102",5,"Dolichandrone atrovirens",18
"103",5,"Dolichandrone atrovirens",42
"104",5,"Dolichandrone atrovirens",23
"105",6,"Premna tomentosa",4
"106",6,"Premna tomentosa",3
"107",6,"Premna tomentosa",2
"108",6,"Premna tomentosa",3.5
"109",6,"Premna tomentosa",2.5
"110",6,"Premna tomentosa",3
"111",6,"Chloroxylon swietenia",26
"112",6,"Chloroxylon swietenia",25
"113",6,"Chloroxylon swietenia",17
"114",6,"Chloroxylon swietenia",15
"115",6,"Dolichandrone atrovirens",34
"116",6,"Chloroxylon swietenia",16
"117",6,"Chloroxylon swietenia",19
"118",6,"Dolichandrone atrovirens",35
"119",6,"Dolichandrone atrovirens",29
"120",6,"Dolichandrone atrovirens",68
"121",7,"Dolichandrone atrovirens",2.5
"122",10,"Dolichandrone atrovirens",67
"123",7,"Premna tomentosa",38
"124",7,"Chloroxylon swietenia",34
"125",7,"Wrightia tinctoria",21
"126",7,"Wrightia tinctoria",28
"127",7,"Chloroxylon swietenia",28
"128",7,"Chloroxylon swietenia",30
"129",7,"Chloroxylon swietenia",20
"130",7,"Chloroxylon swietenia",32
"131",7,"Chloroxylon swietenia",17
"132",7,"Chloroxylon swietenia",19
"133",7,"Premna tomentosa",21
"134",7,"Wrightia tinctoria",19
"135",7,"Chloroxylon swietenia",25
"136",7,"Chloroxylon swietenia",18
"137",8,"Cassia montana",2.5
"138",8,"Cassia montana",3
"139",8,"Cassia montana",3.5
"140",8,"Cassia montana",4
"141",8,"Cassia montana",3.2
"142",8,"Azadirachata indica",23
"143",8,"Azadirachata indica",24
"144",8,"Azadirachata indica",17
"145",8,"Azadirachata indica",31
"146",8,"Chloroxylon swietenia",15
"147",8,"Chloroxylon swietenia",25
"148",8,"Chloroxylon swietenia",29
"149",9,"Chloroxylon swietenia",41
"150",9,"Chloroxylon swietenia",19
"151",9,"Chloroxylon swietenia",39
"152",9,"Acacia chundra",27
"153",9,"Acacia chundra",56
"154",9,"Wrightia tinctoria",31
"155",9,"Acacia chundra",30
"156",9,"Acacia chundra",26
"157",10,"Dolichandrone atrovirens",67
"158",10,"Chloroxylon swietenia",56
"159",10,"Emblica officinalis",34
"160",10,"Emblica officinalis",57
"161",10,"Emblica officinalis",19
"162",10,"Emblica officinalis",54
"163",10,"Emblica officinalis",38
"164",10,"Azadirachata indica",30
"165",10,"Azadirachata indica",22
"166",10,"Emblica officinalis",48
"167",10,"Premna tomentosa",28
"168",10,"Emblica officinalis",47
"169",10,"Chloroxylon swietenia",56
"170",1,"Cassia montana",3
"171",1,"Cassia montana",3.5
"172",1,"Cassia montana",3.5
"173",1,"Cassia montana",3
"174",1,"Cassia montana",3.4
"175",1,"Cassia montana",3.2
"176",1,"Cassia montana",3
"177",1,"Tectonia grandis",3.2
"178",1,"Tectonia grandis",3
"179",1,"Cassia montana",3
"180",1,"Cassia montana",2
"181",1,"Butea monosperma",23
"182",1,"Butea monosperma",17
"183",1,"Butea monosperma",27
"184",1,"Diospyros montana",19
"185",1,"Diospyros montana",22
"186",1,"Diospyros montana",41
"187",1,"Butea monosperma",67
"188",1,"Butea monosperma",20
"189",1,"Butea monosperma",24
"190",1,"Tectonia grandis",31
"191",1,"Tectonia grandis",40
"192",1,"Tectonia grandis",15
"193",1,"Tectonia grandis",16
"194",1,"Butea monosperma",24
"195",2,"Cassia fistula",2
"196",2,"Dalbergia paniculata",3
"197",2,"Dalbergia paniculata",2
"198",2,"Dalbergia paniculata",2.5
"199",2,"Gimnosporia emarginata",3
"200",2,"Dodonaea viscosa",2
"201",2,"Gimnosporia emarginata",7
"202",2,"Cassia montana",4
"203",2,"Cassia montana",2
"204",2,"Dalbergia paniculata",82
"205",2,"Dalbergia paniculata",60
"206",2,"Ixora parviflora",14
"207",2,"Diospyros montana",24
"208",2,"Diospyros montana",36
"209",2,"#N/A",37
"210",2,"Ixora parviflora",14
"211",2,"Ixora parviflora",16
"212",2,"Buchnania latifolia",30
"213",2,"Buchnania latifolia",29
"214",2,"Diospyros montana",40
"215",2,"Diospyros montana",53
"216",2,"Diospyros montana",58
"217",2,"Diospyros montana",55
"218",2,"Gimnosporia emarginata",14
"219",2,"Diospyros montana",31
"220",2,"Diospyros montana",57
"221",3,"Gardenia gummifera",16
"222",3,"Gardenia gummifera",17
"223",3,"Gardenia gummifera",14
"224",3,"Gardenia gummifera",16
"225",3,"Gardenia gummifera",12
"226",3,"Gardenia gummifera",11
"227",3,"Gardenia gummifera",14
"228",3,"Gardenia gummifera",34
"229",3,"Gardenia gummifera",15
"230",3,"Gardenia gummifera",18
"231",3,"Gardenia gummifera",11.5
"232",3,"Diospyros chloroxylon",12
"233",3,"Buchnania latifolia",31
"234",3,"Premna tomentosa",37
"235",3,"Premna tomentosa",30
"236",3,"Premna tomentosa",39
"237",3,"Premna tomentosa",56
"238",3,"Buchnania latifolia",32
"239",3,"Buchnania latifolia",30
"240",3,"Buchnania latifolia",39
"241",3,"Buchnania latifolia",41
"242",3,"Buchnania latifolia",39
"243",4,"Ixora parviflora",6
"244",4,"Ixora parviflora",4
"245",4,"Ixora parviflora",2
"246",4,"Ixora parviflora",3
"247",4,"Gardenia gummifera",39
"248",4,"Gardenia gummifera",38
"249",4,"Buchnania latifolia",90
"250",4,"Gardenia gummifera",26
"251",4,"Gardenia gummifera",15
"252",4,"Gardenia gummifera",15
"253",4,"Gardenia gummifera",16
"254",4,"Gardenia gummifera",16
"255",4,"Gardenia gummifera",18
"256",4,"Diospyros chloroxylon",16
"257",4,"Diospyros chloroxylon",22
"258",4,"Diospyros chloroxylon",39
"259",4,"Diospyros chloroxylon",20
"260",5,"Butea monosperma",4
"261",5,"Butea monosperma",3
"262",5,"Butea monosperma",2
"263",5,"Holoptelia intergrifolia",2.2
"264",5,"Randia longispina",2
"265",5,"Randia longispina",3
"266",5,"Diospyros montana",21
"267",5,"Diospyros montana",20
"268",5,"Diospyros montana",32
"269",5,"Gimnosporia emarginata",20
"270",5,"Gimnosporia emarginata",16
"271",5,"Gardenia gummifera",14
"272",5,"Gardenia gummifera",16
"273",5,"Gardenia gummifera",14
"274",5,"Gardenia gummifera",15
"275",5,"Gardenia gummifera",18
"276",5,"Gardenia gummifera",18
"277",5,"Gardenia gummifera",13
"278",5,"Ixora parviflora",28
"279",5,"Gardenia gummifera",14
"280",5,"Gardenia gummifera",13
"281",5,"Gardenia gummifera",12
"282",5,"Gardenia gummifera",10.5
"283",5,"Gardenia gummifera",11.5
"284",6,"Dalbergia paniculata",2
"285",6,"Dalbergia paniculata",3
"286",6,"Dalbergia paniculata",3.4
"287",6,"Dalbergia paniculata",2.3
"288",6,"Dalbergia paniculata",3.3
"289",6,"Dalbergia paniculata",6.5
"290",6,"Dalbergia paniculata",7
"291",6,"Diospyros montana",2
"292",6,"Diospyros montana",3
"293",6,"Premna tomentosa",20
"294",6,"Premna tomentosa",18
"295",6,"Anogeissus latifolia",20
"296",6,"Anogeissus latifolia",24
"297",6,"Premna tomentosa",37
"298",6,"Premna tomentosa",14
"299",6,"Ixora parviflora",27
"300",6,"Ixora parviflora",14
"301",6,"Soumida febrifuga",12
"302",6,"Premna tomentosa",24
"303",6,"Premna tomentosa",15
"304",6,"Premna tomentosa",41
"305",6,"Premna tomentosa",17
"306",6,"Boswelia serrata",12
"307",6,"Boswelia serrata",14
"308",6,"Boswelia serrata",28
"309",6,"Boswelia serrata",27
"310",6,"Gimnosporia emarginata",24
"311",6,"Diospyros montana",18
"312",6,"Diospyros montana",16
"313",6,"Diospyros montana",12
"314",6,"Diospyros montana",13
"315",7,"Cassia montana",3
"316",7,"Cassia montana",2
"317",7,"Cassia montana",1.5
"318",7,"Cassia montana",1.7
"319",7,"Cassia montana",3.3
"320",7,"Ixora parviflora",3
"321",7,"Ixora parviflora",4
"322",7,"Ixora parviflora",6
"323",7,"Ixora parviflora",8
"324",7,"Ixora parviflora",7
"325",7,"Ixora parviflora",9
"326",7,"Boswelia serrata",13
"327",7,"Boswelia serrata",26
"328",7,"Boswelia serrata",27
"329",7,"Boswelia serrata",23
"330",7,"Dalbergia paniculata",69
"331",7,"Cassia fistula",29
